ubn,country_code,farm_name,recent_mpr_date
29297010,FR,EARL DE KERANGUEN,2025-09-29
916918400,GB,MOO MILK LTD,2025-09-16
511159,NL,Mts A+N+M Slagboom-de Gr,2025-10-15
443478,NL,De Melkhoeve,2025-10-15
69227635,FR,GAEC DE LA LOUVE,2025-09-03
14481,NL,Mts van Weperen,2025-10-09
159401,NL,T.S. Oldenburger,2025-10-14
901219600,GB,J & N YOUNG,2025-09-25
098812001,GB,RS & NJ & MP GLANVILLE MARSHWOOD FARM,2025-10-13
751768,NL,Boerderij Missieklooster G.S. Migchels,2025-10-02
098090401,GB,J W & P MARSH & SON FOUR BARROWS EWELEAZE DAIRY,2025-09-30
901186800,GB,FW READ & SONS LTD,2025-10-09
902666700,GB,RHUAL DAIRY,2025-09-05
416089,NL,J.A.J. ROEFS,2025-09-19
325345,NL,Hulsen,2024-11-28
027754901,GB,E L M & S E Barnes Altham Hall Farm,2025-09-17
35334002,FR,GAEC JOUAULT,2025-10-16
56066183,FR,EARL DE KERVENAL,2025-10-13
35169181,FR,GAEC Pépin la Noe,2025-03-13
158598,NL,"HOFMAN, MTS TR+MT",2025-09-30
159061,NL,Maatsch. A.de Kreij-J.F. de Kreij-Folkers,2025-09-01
297538,NL,De Veldhoeve,2025-04-30
314112,NL,Oudenampsen en E.H. Ruiterkamp,2025-09-17
141932900947,DE,Schubert GbR,2025-09-22
50347003,FR,JEAN-CLAUDE LEBLANC,2025-09-03
029999701,GB,J D & B F BROADLEY & SONS BRUNDCLIFFE FARM A,2025-09-22
146663201,GB,DARREN & DANIEL MCKAY,2025-04-29
400112,NL,Kimenai IJpelaar,2025-10-01
22181021,FR,Gaec le Bihan Quemener,2025-10-07
76666128,FR,GAEC LA POTERIE - GODEFROY,2025-09-28
098848102,GB,FOOKS BROS MANOR FARM,2025-10-06
911340800,GB,MR A HEGARTY,2025-08-25
911484100,GB,FISHERWICK FARM,2025-10-01
025792102,GB,BLYTHE BRIDGE HALL FARM LTD,2025-09-30
400332,NL,Moerenhout-Geerts,2025-10-16
393717,NL,J. Buijs V.O.F.,2025-10-08
32915,GB,Sam Baird,2025-08-27
02634031,FR,SCEA DU FOND DE L ANNEAU,2025-10-16
35303028,FR,Gaec Holst'hirel,2025-10-10
208840,NL,MELKVEEHOUDERIJ MT,2025-01-06
406446,NL,Melkveebedrijf Gastelsveer,2025-10-02
22245035,FR,GAEC LE CARLUER,2025-09-30
057368001,GB,C H SHROPSHIRE & SON BRIDGE FARM,2025-09-10
359043,NL,V.O.F. Melkveehouderij de Geus-Roeleveld,2025-10-11
484633,NL,Mts T en S Kortleve,2025-09-08
6362917,NL,D.A. Keyzer v.o.f..,2025-10-16
433220,NL,P. Hazenberg,2025-09-21
3302602446,BE,DEMUYNCK AGRI,2025-10-08
3302661050,BE,DELPORTE,2025-09-22
22113026,FR,MEUDIC Nicolas,2025-10-09
63342017,FR,GAEC DU CHAMP DU FOUR,2025-10-07
911212500,GB,B & J HUNTER,2025-10-10
146655901,GB,CARNVIEW FARMS JAMES & ADAM MCKEOWN,2025-08-28
7303501226,BE,De Kriezelhoeve,2025-09-06
2021960,NL,Mts Tuin-Bloemhof,2025-10-17
902488400,GB,JGT GRIFFITHS AND PARTNERS,2025-10-07
911968300,GB,MR GEORGE FORSYTHE,2025-10-17
146569001,GB,"R & D IRWIN, 10 URBAL RD",2025-07-07
098030701,GB,MESSRS J D & M J PARSONS & SON,2025-09-30
395564,NL,S. EN C. VAN OOSTERHOUT,2025-10-13
6631899,NL,Melkveebedrijf Nelis,2025-09-16
699057,NL,Mts. Eshuis,2024-11-09
395337,NL,Melkvee Oomen,2025-09-30
35346011,FR,CHESNOT STEPHANE,2025-09-22
915550800,GB,MR BRIAN RANKIN,2025-09-11
3303600334,BE,Vandecaveye vandelanotte LV,2025-10-09
2254005,NL,H.J.J.H. Gijmink,2024-09-05
54317,NL,Mts Kleinhoven,2024-10-04
14180015,FR,GAEC DU PAVEMENT,2025-09-08
911345600,GB,Mr Martin King,2025-10-03
258137,NL,B.H Wienen,2025-10-14
443863,NL,Nijssen,2025-09-30
1303908352,BE,Marc Aerts,2025-10-01
208297,NL,"STOKKERS-TIEBERINK, MTS JB+JD",2024-11-19
159377,NL,De Boer,2024-10-26
44128381,FR,EARL AR DERVENN,2025-10-21
098088102,GB,RADSTOCK COOPERATIVE SOCIETY LTD MANOR FARM,2025-10-07
270995,NL,A. van Ramshorst en E. Borren,2025-10-15
443014,NL,Ketelaars,2025-10-01
72227,NL,C Veninga,2025-10-06
22346075,FR,Ruello Sylvain,2025-10-09
50275020,FR,EARL LA BRUYÈRE,2025-09-02
025406702,GB,"STANWORTH AGRICULTURE, BLACKMOSS",2025-09-30
909189900,GB,MESSRS R & A HARRISON,2025-09-24
146583101,GB,LINDSAY ROBB 8 LEGATONEGAN ROAD,2024-11-27
078331101,GB,H R WARLOW & SONS,2025-10-14
097086001,GB,BRISTOL UNIV SCHOOL OF VET SCIENCE (RE WYNDHURST FARM),2025-10-01
901124400,GB,GA & A BROWN & SON,2025-10-14
406051,NL,Melkveehouderij van Gastel,2025-10-14
146569102,GB,"ALAN COCHRANE, 170 MOYCRAIG ROAD, BALLYMONEY",2025-10-08
537418,NL,Melkveebedrijf de Heibloem,2025-10-17
32425,NL,Nieweg,2024-07-31
909010500,GB,R K & S G MILLER & SONS,2025-09-26
08082001,FR,GAEC DU MOULIN,2025-10-08
2206365030,BE,Schrevens Hugo,2025-10-10
200350,NL,Melkveebedrijf De Brits,2025-10-08
376662,NL,Mts. De Groot,2025-10-10
11831,NL,Mts S en W de Boer,2025-09-24
2014025,NL,W. DUIVEN EN,2025-09-24
29014680,DE,Börnig GbR,2024-05-26
401104,NL,H. van der Avoird,2024-12-23
08203007,FR,GAEC DAPREMONT,2025-10-01
911470800,GB,M S W & G LYONS,2023-06-23
916238700,GB,"MR SAMMUEL MAYNE, SANDHOLES",2025-10-14
065153801,GB,LOWER PARK FARM LOWER PARK FARM,2024-10-16
384324,NL,Dijkshoorn VOF,2025-10-06
078721901,GB,I G & H M E JONES & SONS GILFACH (1),2025-09-22
38058003,FR,GAEC LES TREIZE FONTAINES,2025-10-14
22335021,FR,Mr Noël henry,2025-09-13
50528081,FR,EARL DE LA MARE,2025-09-09
912425300,GB,MR JAMES MORTON,2025-07-29
101820,NL,G. Koorevaar,2025-09-29
432953,NL,VOF van Mensvoort,2025-09-12
42069238,FR,GAEC FERME DES ARNAUDS,2025-09-11
108796206,GB,FORTESCUE FARM PARTNERSHIP (DEER PARK FARM),2025-03-10
915557300,GB,MR WESLEY MULLAN,2025-09-25
398011,NL,Melkveebedrijf Michielsen Vof,2024-07-29
6011330,NL,Mts van Rijn,2025-10-07
1301714738,BE,Smets Commvlo,2025-09-09
7201722358,BE,Steensels Lv,2025-10-02
03321090,FR,GAEC DE LA FERME DES POCHATS,2025-10-08
056055101,GB,H M ISAAC & SON HORTON FARM HORTON,2025-09-26
066538101,GB,"R G OWEN, GRAIGLWYD GANOL",2025-10-15
525152,NL,Melkveebedrijf Familie Hereijgers,2025-01-09
905009700,GB,A & S LAWRIE,2025-10-07
146667001,GB,GERARD MCCONVILLE CLONECORE FARM,2024-07-10
1859690,NL,PARTNERS 4 MILK V.O.F.,2023-11-28
344900,NL,J.N. de Jong en zns,2025-10-07
73077067,FR,Gaec Vaugellaz,2025-10-05
915561400,GB,Mr J Allen,2025-05-23
915517200,GB,MR J GRANT,2025-10-17
22072015,FR,EARL MEUROU MOISAN,2025-09-30
914465600,GB,MR GEORGE ARMSTRONG,2025-09-08
3303666214,BE,jo kestier,2025-10-19
4201200241,BE,De Blekerij,2025-09-23
4300400424,BE,De Smet Peter,2025-09-18
057160201,GB,M S J H & P D EVANS & SON BOYCOTT FARM,2025-10-03
436014,NL,Melkveehouderij Vermeer,2025-09-19
257073,NL,Melkveebedrijf Hammer,2025-10-15
22024004,FR,Gaec de la haie douar,2025-10-01
905029000,GB,ROBERT MILNE LIMITED,2025-09-17
371100,NL,Mts P.& C. Rodenburg,2025-10-01
911966600,GB,MR RAYMOND STEWART,2025-10-02
146622801,GB,"ANDREW DALZELL, COUNTY ARMAGH",2025-09-04
098831101,GB,"ANDREW BRISTOL, STAVERDALE FARMS LTD, GREENLANDS FARM",2025-09-30
902668600,GB,JD FOWLES & PARTNERS,2025-10-17
2184735,NL,Maatschap van den Boomen-Daris,2025-10-04
364980,NL,THEO EN DESIREE,2020-09-17
904893600,GB,MR C TELFER,2025-09-30
1172755,NL,"KINDEREN, WJM DER",2025-10-05
234883,NL,Melkveebedrijf Fam Vernooij,2025-10-15
356015,NL,V.O.F. J. Bakker en Zn,2025-10-09
387273,NL,Firma J. Ras & Zn.,2024-02-29
412564,NL,BIERENS,2025-10-14
35235037,FR,GAEC BELLIER,2024-06-26
916928700,GB,Mr Alcorn,2025-09-20
49724,NL,de Jong,2025-07-30
448174,NL,Mts. Peeters,2025-09-29
316055,NL,Verploegen Melkvee,2025-09-09
56080515,FR,Earl du Grand Clos,2025-10-15
179742,NL,JH Tietema,2025-09-24
351405,NL,Lievelden,2024-03-07
22203504,FR,EARL DU PALAIS,2025-08-25
37111307,FR,EARL le Hauts Millets,2025-10-08
056762702,GB,HARTPURY UNIVERSITY FAO BRYAN CARTER,2025-10-09
913202400,GB,Smyth McCann,2024-06-06
108881002,GB,S W & M A POAD FURSLOW FARM,2025-10-04
2389530,NL,Maatschap Lazeroms-Ossenblok,2025-09-21
190989,NL,Mts cjj en wa Zantinge,2025-09-26
08088009,FR,EARL DE LA BELLE VOLEE,2025-09-03
887216,NL,J. de Vries en G. de Vries-Verburg,2025-09-01
881377,NL,Maatschap Snoekvliet,2025-09-26
39147002,FR,GAEC DES MOIDONS,2025-10-15
146562701,GB,STEPHEN CRAWFORD 103 NURSERY ROAD GRACEHILL BALLYMENA CO ANTRIM,2025-09-08
911687000,GB,John Blair,2025-10-14
451439,NL,Maatschap Hermens,2025-09-28
066764902,GB,JE & GK Williams Plas Mawr Llyn Helig Trelawnyd,2025-07-17
267843,NL,Landbouwbedrijf Brus Kools,2025-09-10
333313,NL,Van Zuijlen Harmelen B.V.,2025-09-28
6329101,NL,Velshoeve,2025-09-08
971421,NL,Bullseye Ranch,2024-05-02
911367900,GB,MR D SHAW,2025-09-20
6131832,NL,Van Echteld,2025-09-30
433354,NL,V.O.F. de Kort,2025-10-07
916570400,GB,M & D Keys,2025-09-24
911390100,GB,"ROBERT, ANN & LYLE McCORMICK",2025-09-23
3200702734,BE,kristof de cat,2025-10-12
245322,NL,MTS H + HR DOZE,2024-09-13
2024242,NL,Maatschap J. en E.L. v.d. Berg,2025-09-28
902621400,GB,W MARSH & SON,2025-09-22
46181,NL,Reinsma,2025-09-23
22132111,FR,Gaec de kerlavezan,2025-10-15
067101702,GB,H & M JONES WIGFAIR HOME FARM CEFN,2025-01-08
1101711246,BE,Boden Maria,2025-10-16
2727257,NL,Bles Dairies Farm,2025-10-08
901120100,GB,BRACKENBURGH HOME FARM LIMITED,2025-09-18
02095206,FR,GAEC FERME DE L'ERABLE,2025-09-17
911263200,GB,"J W SUFFERN, RAVENHILL HOUSE",2025-10-07
22191004,FR,GAEC DE LA LAITIERE,2025-10-15
39133008,FR,GAEC DU DOMAINE DE L HOPITAL,2025-09-10
22272100,FR,GAEC De Saint Patern,2025-09-17
916922500,GB,MR C & T KEATLEY,2025-09-19
901218100,GB,John Archer,2025-10-02
902311200,GB,J A L & J E OWEN,2025-10-07
146566601,GB,RICHARD CUMMINGS,2025-10-09
1304300392,BE,wetschothoeve,2025-09-30
353410,NL,J.T. Oudshoorn,2025-10-14
6035684,NL,Broos Anton,2025-10-07
733092,NL,Rijpkema,2025-09-15
50460068,FR,SCEA D'OZOUVILLE,2025-08-29
904572300,GB,"SHEPHERDS DAIRY LTD, MOONS FARM",2025-10-15
152006,NL,de Vries Winsum,2025-09-25
2328577,NL,Houwing,2025-10-18
377173,NL,Firma Vermaat,2025-10-01
155058,NL,A. Onnes,2025-10-02
35072004,FR,GAEC LOIRIE,2025-09-18
22081126,FR,Earl de Creaume,2025-09-09
146584201,GB,MATTHEW WORKMAN,2025-10-18
406147,NL,"GOMMEREN-EEKELEN, MTS M + L",2024-11-27
394871,NL,Henk Rijken,2025-10-10
867621,NL,Melkveebedrijf Baan CV,2025-09-19
143795003300,DE,Agrargenossenschaft Rathendorf eG,2025-10-09
914460800,GB,STEPHEN JORDAN,2025-09-17
902772500,GB,AJ & CM GIBBS,2025-09-30
1303506208,BE,Clijmans commvlo,2025-09-09
303305,NL,M.T te Brake,2025-09-14
17303026,FR,EARL PICHOT,2025-10-06
42100091,FR,GAEC GONON,2025-09-29
29274489,FR,EARL DE PENKER,2025-10-17
078722201,GB,D R AND J HARRIES CILIAUWEN LETTERSTON,2025-07-30
067116801,GB,JONES BERAIN,2025-08-07
452342,NL,Groenhof Agro,2025-09-16
4300605134,BE,LUC VAN VOOREN,2025-09-13
523288,NL,C. Pijs,2025-10-02
483744,NL,VOF Vonk-Noordegraaf,2025-10-20
635286,NL,Mts. Straalman en Woestenenk,2025-09-25
6155210,NL,M. Koster,2025-02-07
108424201,GB,NICHOLLS HILLTOWN MOLLAND,2025-09-26
358604,NL,A.A. en T. Nieuweboer,2025-09-14
405911,NL,mts. Brosens,2025-10-02
175708,NL,MTS VELD-BAZUIN,2025-09-20
190109,NL,Mts. Duiven,2025-09-05
02740022,FR,SCEA LA CENSE LENGLET,2025-10-16
108355701,GB,J T & M J BELLEW TENNACOTT FARM,2025-08-07
913888800,GB,David MaGill,2024-07-16
902530200,GB,R & E PATTINSON,2025-09-03
321961,NL,VOF Goesten-Pullen,2025-09-11
398846,NL,C. JANSEN,2025-09-28
901035000,GB,PA & VL GIBBY,2025-10-13
915390500,GB,MR BRIAN THOMPSON,2025-07-22
109247903,GB,MESSRS B W PICKARD MIDDLECOTT,2025-10-01
1302119310,BE,Vleugels LV,2025-01-10
444934,NL,Pootaardappel selectiebedrijf Wolters,2025-10-07
50002003,FR,Gaec du campart,2025-09-29
182533,NL,G. Doosje,2025-10-06
50112028,FR,GAEC LEBRETON LEPESANT,2025-10-13
35217125,FR,PATRICE ACCARIE,2025-10-15
2482554,NL,C.J.H. Wiggerts en T.J. Zonneveld,2025-10-12
252298,NL,"DEKKER-AVERESCH, MTS EJ + HJ",2023-12-18
146544001,GB,Walter G Speers,2025-10-21
35013193,FR,GAEC BREIZHOISE HOLSTEIN,2025-08-30
35019018,FR,EARL MOUAZE,2025-10-09
2668897,NL,P.A.J. Pepers,2025-09-30
381341,NL,Vermeulen-Rehorst,2025-10-11
29095084,FR,LE MONOT ROMAIN,2025-09-23
527002,NL,Melkveebedrijf Pals VOF,2025-09-16
3501201458,BE,Willems Ivo,2025-03-04
08154006,FR,GAEC BLAIN,2025-10-07
35085037,FR,EARL LE POIRIER,2025-10-07
51495035,FR,GAEC RABOT,2025-09-29
52502004,FR,EARL DE LA COLLIERES,2025-09-22
902149100,GB,T A A J NORBURY,2025-10-13
379487,NL,"BESTEN, T J  DEN",2025-01-07
336877,NL,AWE Miltenburg,2025-09-17
1902839,NL,vermeulen rehorst vof,2024-06-30
214456,NL,HEUVER,2025-10-06
311005,NL,Melkveebedrijf Bloemendaal,2025-09-30
901239700,GB,H WRIGHT & SON,2025-10-14
901216100,GB,LOMAS FARMING COMPANY,2025-04-02
921399601,GB,"A J & R A TURNER, AXE FARM",2025-10-13
173968,NL,Melkveehouderij Fam Guichelaar,2025-10-16
422798,NL,M. SMITS,2025-10-16
2101464883,BE,MAGNUS JOOST,2025-10-16
50053044,FR,GAEC CHESNEL,2025-10-07
56144020,FR,EARL MICHEL,2025-09-16
205207,NL,Mts v. Kempen-Ronnes,2023-05-30
757621,NL,ts. Duijndam - v.dBurg,2024-10-25
6187831,NL,Maatschap Maessen-Hawinkels,2024-07-30
901206500,GB,"AL & WG SANDERS, HAYDONS FARM",2025-10-01
14703022,FR,GAEC LEROUXEL,2025-10-15
146582901,GB,"ROBERT CURRIE Kilymoyle Farm, 160 Seacon Road",2025-10-10
146537301,GB,"MRS HEATHER HUTCHINSON, MR JONATHON HUTCHINSON",2025-10-09
426873,NL,Phgm van der doelen,2025-10-07
109273701,GB,A G LUDWELL & SON EAST ASH FARM (1),2025-09-17
237378,NL,Mts. Schottert,2025-09-26
2620361,NL,Maatschap Gerritzen,2025-10-12
394974,NL,V.O.F. Melkveehouderij Biemans,2025-09-30
6177786,NL,C. Greving en M. Tijink,2025-10-07
